dataset,artist,track,chord_filepath,mp3_filepath,mp3_length,chord_length,diff_length
isophonics/The Beatles,The Beatles,Money,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/02_-_With_the_Beatles/14_-_Money.lab,Data/mp3s/Money - The Beatles.mp3,166.0,167,-1.0
isophonics/The Beatles,The Beatles,Not A Second Time,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/02_-_With_the_Beatles/13_-_Not_A_Second_Time.lab,Data/mp3s/Not A Second Time - The Beatles.mp3,134.0,128,6.0
isophonics/The Beatles,The Beatles,Don't Bother Me,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/02_-_With_the_Beatles/04_-_Don't_Bother_Me.lab,Data/mp3s/Don't Bother Me - The Beatles.mp3,152.0,149,3.0
isophonics/The Beatles,The Beatles,Little Child,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/02_-_With_the_Beatles/05_-_Little_Child.lab,Data/mp3s/Little Child - The Beatles.mp3,105.0,108,-3.0
isophonics/The Beatles,The Beatles,It Won't Be Long,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/02_-_With_the_Beatles/01_-_It_Won't_Be_Long.lab,Data/mp3s/It Won't Be Long - The Beatles.mp3,132.0,133,-1.0
isophonics/The Beatles,The Beatles,Till There Was You,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/02_-_With_the_Beatles/06_-_Till_There_Was_You.lab,Data/mp3s/Till There Was You - The Beatles.mp3,134.0,136,-2.0
isophonics/The Beatles,The Beatles,Hold Me Tight,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/02_-_With_the_Beatles/09_-_Hold_Me_Tight.lab,Data/mp3s/Hold Me Tight - The Beatles.mp3,148.0,152,-4.0
isophonics/The Beatles,The Beatles,Roll Over Beethoven,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/02_-_With_the_Beatles/08_-_Roll_Over_Beethoven.lab,Data/mp3s/Roll Over Beethoven - The Beatles.mp3,166.0,167,-1.0
isophonics/The Beatles,The Beatles,Please Mister Postman,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/02_-_With_the_Beatles/07_-_Please_Mister_Postman.lab,Data/mp3s/Please Mister Postman - The Beatles.mp3,155.0,156,-1.0
isophonics/The Beatles,The Beatles,You Really Got A Hold On Me,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/02_-_With_the_Beatles/10_-_You_Really_Got_A_Hold_On_Me.lab,Data/mp3s/You Really Got A Hold On Me - The Beatles.mp3,181.0,182,-1.0
isophonics/The Beatles,The Beatles,All My Loving,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/02_-_With_the_Beatles/03_-_All_My_Loving.lab,Data/mp3s/All My Loving - The Beatles.mp3,128.0,129,-1.0
isophonics/The Beatles,The Beatles,All I've Got To Do,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/02_-_With_the_Beatles/02_-_All_I've_Got_To_Do.lab,Data/mp3s/All I've Got To Do - The Beatles.mp3,121.0,124,-3.0
isophonics/The Beatles,The Beatles,I Wanna Be Your Man,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/02_-_With_the_Beatles/11_-_I_Wanna_Be_Your_Man.lab,Data/mp3s/I Wanna Be Your Man - The Beatles.mp3,120.0,118,2.0
isophonics/The Beatles,The Beatles,Devil In Her Heart,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/02_-_With_the_Beatles/12_-_Devil_In_Her_Heart.lab,Data/mp3s/Devil In Her Heart - The Beatles.mp3,145.0,147,-2.0
isophonics/The Beatles,The Beatles,I Me Mine,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/12_-_Let_It_Be/04_-_I_Me_Mine.lab,Data/mp3s/I Me Mine - The Beatles.mp3,142.0,145,-3.0
isophonics/The Beatles,The Beatles,The Long and Winding Road,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/12_-_Let_It_Be/10_-_The_Long_and_Winding_Road.lab,Data/mp3s/The Long and Winding Road - The Beatles.mp3,212.0,217,-5.0
isophonics/The Beatles,The Beatles,I've Got A Feeling,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/12_-_Let_It_Be/08_-_I've_Got_A_Feeling.lab,Data/mp3s/I've Got A Feeling - The Beatles.mp3,211.0,217,-6.0
isophonics/The Beatles,The Beatles,One After 909,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/12_-_Let_It_Be/09_-_One_After_909.lab,Data/mp3s/One After 909 - The Beatles.mp3,176.0,175,1.0
isophonics/The Beatles,The Beatles,Maggie Mae,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/12_-_Let_It_Be/07_-_Maggie_Mae.lab,Data/mp3s/Maggie Mae - The Beatles.mp3,41.0,40,1.0
isophonics/The Beatles,The Beatles,Let It Be,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/12_-_Let_It_Be/06_-_Let_It_Be.lab,Data/mp3s/Let It Be - The Beatles.mp3,244.0,243,1.0
isophonics/The Beatles,The Beatles,For You Blue,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/12_-_Let_It_Be/11_-_For_You_Blue.lab,Data/mp3s/For You Blue - The Beatles.mp3,147.0,152,-5.0
isophonics/The Beatles,The Beatles,Dig It,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/12_-_Let_It_Be/05_-_Dig_It.lab,Data/mp3s/Dig It - The Beatles.mp3,51.0,50,1.0
isophonics/The Beatles,The Beatles,Get Back,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/12_-_Let_It_Be/12_-_Get_Back.lab,Data/mp3s/Get Back - The Beatles.mp3,192.0,186,6.0
isophonics/The Beatles,The Beatles,Two of Us,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/12_-_Let_It_Be/01_-_Two_of_Us.lab,Data/mp3s/Two of Us - The Beatles.mp3,217.0,216,1.0
isophonics/The Beatles,The Beatles,Across the Universe,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/12_-_Let_It_Be/03_-_Across_the_Universe.lab,Data/mp3s/Across the Universe - The Beatles.mp3,219.0,228,-9.0
isophonics/The Beatles,The Beatles,Dig a Pony,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/12_-_Let_It_Be/02_-_Dig_a_Pony.lab,Data/mp3s/Dig a Pony - The Beatles.mp3,238.0,234,4.0
isophonics/The Beatles,The Beatles,Honey Don't,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/04_-_Beatles_for_Sale/10_-_Honey_Don't.lab,Data/mp3s/Honey Don't - The Beatles.mp3,177.0,179,-2.0
isophonics/The Beatles,The Beatles,Everybody's Trying to Be My Baby,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/04_-_Beatles_for_Sale/14_-_Everybody's_Trying_to_Be_My_Baby.lab,Data/mp3s/Everybody's Trying to Be My Baby - The Beatles.mp3,144.0,143,1.0
isophonics/The Beatles,The Beatles,Eight Days a Week,Data/Isophonics/The Beatles Annotations/chordlab/The Beatles/04_-_Beatles_for_Sale/08_-_Eight_Days_a_Week.lab,Data/mp3s/Eight Days a Week - The Beatles.mp3,164.0,165,-1.0
